,time,latitude,longitude,altitude,distance
0,0,39.188533574299996,-96.59565519540001,348.48999999999995,0.0
1,4,39.1885270823,-96.5955950918,348.34999999999997,5.235883831
2,5,39.188515792,-96.5955679108,348.2699999999999,7.8966153588
3,6,39.188520439499996,-96.5955580621,348.16,8.8914718563
4,7,39.1885245312,-96.5955444728,348.21999999999997,10.1493312211
5,8,39.1885202961,-96.5955513398,348.2,10.9065074047
6,9,39.1885208155,-96.5955480841,348.04,11.1932978402
7,10,39.1885250886,-96.59552675350001,347.78999999999996,13.0941930227
8,11,39.1885335338,-96.5954943442,347.4599999999999,16.0442833186
9,12,39.1885492295,-96.5954520076,347.0899999999999,20.0934790677
10,13,39.1885773727,-96.59541154860001,346.73,24.7839863585
11,14,39.1886170699,-96.59537763350001,346.36,30.0840621937
12,15,39.1886643531,-96.5953455643,346.01,36.0305638139
13,16,39.1887160658,-96.5953155925,345.65,42.3413608737
14,17,39.188770073,-96.59528609959999,345.3,48.8697663002
15,18,39.1888252739,-96.5952558998,344.94,55.5443106961
16,19,39.188881391100004,-96.5952241218,344.5899999999999,62.3664654358
17,20,39.1889381799,-96.59519166620001,344.2699999999999,69.2806085211
18,21,39.188994513800004,-96.5951614108,343.97,76.0732960071
19,22,39.189050938,-96.5951345353,343.69,82.7687584923
20,23,39.1891086185,-96.5951109545,343.43,89.5043526445
21,24,39.1891671609,-96.59509014,343.54,96.2641731452
22,25,39.1892252448,-96.59507288030001,343.72,102.899315405
23,26,39.1892873252,-96.5950690966,343.89,109.8177794991
24,27,39.189338471199996,-96.5950713299,344.04,115.5145859961
25,28,39.189375311599996,-96.5950801717,344.16,119.6859957403
26,29,39.1894075663,-96.5950859662,344.24999999999994,123.3112119031
27,30,39.1894295671,-96.5950918644,344.34,125.8126406508
28,31,39.1894515116,-96.59510068959999,344.47,128.3714050562
29,32,39.1894749233,-96.59511858399999,344.61,131.400570015
30,33,39.1894988509,-96.5951445291,344.77,134.8799156873
31,34,39.189517820300004,-96.5951836768,344.93,138.8633248211
32,35,39.189527459699995,-96.5952335295,345.09,143.2964077404
33,36,39.1895291488,-96.59528982239999,345.23999999999995,148.1569519361
34,37,39.1895246027,-96.59534899120001,345.3999999999999,153.2870247662
35,38,39.1895168339,-96.59540807129999,345.55,158.4572537198
36,39,39.1895081681,-96.5954650548,345.69999999999993,163.4674969088
37,40,39.1894997428,-96.59551923299999,345.84,168.2351146249
38,41,39.1894924706,-96.59557193180001,346.0,172.8534395508
39,42,39.1894875343,-96.5956250942,346.1499999999999,177.4730541857
40,43,39.1894827112,-96.5956768659,346.3,181.9720302084
41,44,39.1894787545,-96.5957262186,346.44999999999993,186.2528709362
42,45,39.1894745305,-96.5957738699,346.6,190.390991633
43,46,39.1894708399,-96.5958212342,346.86,194.4981564826
44,47,39.1894684251,-96.5958699389,347.16,198.7089578442
45,48,39.1894680495,-96.5959201001,347.46999999999997,203.0370333726
46,49,39.1894693519,-96.5959719826,347.78999999999996,207.5157692489
47,50,39.189471299299996,-96.5960259347,348.12,212.1757645192
48,51,39.1894730825,-96.596081561,348.45,216.9792722318
49,52,39.1894735989,-96.59613718879999,348.79,221.7791497839
50,53,39.1894726891,-96.5961921657,349.11,226.523596126
51,54,39.189470737600004,-96.59624630180001,349.42999999999995,231.1994749297
52,55,39.1894678782,-96.5962986887,349.74,235.7305779381
53,56,39.189463307,-96.5963496935,350.06,240.1605630902
54,57,39.1894570365,-96.5964006259,350.37,244.6100744114
55,58,39.1894483373,-96.5964514607,350.68,249.1017019427
56,59,39.1894374731,-96.5965006148,350.97999999999996,253.5117547243
57,60,39.1894248475,-96.59654876190001,351.29,257.8971773176
58,61,39.1894105671,-96.5965967485,351.59,262.3321289933
59,62,39.1893972791,-96.596643914,351.72,266.6620504749
60,63,39.189386133,-96.596690826,351.67999999999995,270.8955086272
61,64,39.1893773894,-96.5967385711,351.64,275.1283568611
62,65,39.1893708205,-96.5967877948,351.59,279.4378441575
63,66,39.1893670635,-96.59683956319999,351.54,283.9239352527
64,67,39.1893709739,-96.5968985785,351.48999999999995,289.0343158809
65,68,39.1893733414,-96.5969590632,351.43,294.2595549599
66,69,39.1893751373,-96.59701752049999,351.39,299.3071762527
67,70,39.1893772093,-96.5970731793,351.34,304.1149232167
68,71,39.1893780087,-96.5971280591,351.26,308.8507647384
69,72,39.1893685234,-96.5971880198,351.18,314.1307996341
70,73,39.1893601255,-96.59724567479999,351.13,319.1923244289
71,74,39.1893606999,-96.5973015307,351.08,324.0119624148
72,75,39.1893602599,-96.59735492790001,351.02,328.6193056072
73,76,39.1893613867,-96.59741728620001,350.97,334.0010119167
74,77,39.1893656595,-96.5974796394,350.81,339.4018048823
75,78,39.1893694078,-96.5975397384,350.54,344.6038730424
76,79,39.1893684481,-96.59760235389999,350.25999999999993,350.007365739
77,80,39.189367993299996,-96.5976686646,350.05,355.7288346402
78,81,39.1893747022,-96.5977256608,349.84,360.7028249739
79,82,39.1893686382,-96.597770708,349.62,364.6476585516
80,83,39.189361490799996,-96.59781638790001,349.38,368.6684073049
81,84,39.189361018,-96.59787382420001,349.17999999999995,373.6242663115
82,85,39.1893607022,-96.59792065149999,349.01,377.6646512379
83,86,39.1893592056,-96.5979614556,348.9,381.1891536923
84,87,39.1893618741,-96.59798937219999,348.82,383.6160315155
85,88,39.1893632674,-96.59801046870001,348.72999999999996,385.4428230057
86,89,39.1893614532,-96.59802880049999,348.66,387.037318619
87,90,39.1893606568,-96.5980461482,348.55,388.5366921707
88,91,39.1893631225,-96.59807365649999,348.39,390.9259095903
89,92,39.189368275700005,-96.5981176956,348.18,394.7686439025
90,93,39.1893812091,-96.5981756294,347.94,399.9703594716
91,94,39.1894019964,-96.5982455173,347.64,406.4290172479
92,95,39.1894299534,-96.59833145200001,347.54,414.4700914046
93,96,39.1894588589,-96.5984282376,347.4,423.4191973476
94,97,39.189497327699996,-96.5985386083,347.22,433.8604798108
95,98,39.189535972899996,-96.5986474488,347.0,444.1896516091
96,99,39.1895778256,-96.59874953469999,346.73,454.1538541774
97,100,39.189620119299995,-96.5988546253,346.38,464.3704684114
98,101,39.1896607906,-96.5989682874,345.98999999999995,475.1718158392
99,102,39.189697345,-96.5990799803,345.72,485.6324955355
100,103,39.1897274091,-96.59918498209998,346.03,495.2903519574
101,104,39.189757916,-96.599296598,346.36,505.501718031
102,105,39.1897689075,-96.5994024123,346.68,514.7128972265
103,106,39.189767367600005,-96.5994954249,347.03,522.7397624449
104,107,39.1897542571,-96.599581431,347.42,530.3024364501
105,108,39.1897280241,-96.599660069,347.78999999999996,537.6890188735
106,109,39.1896999326,-96.59972651700001,348.10999999999996,544.2194818643
107,110,39.189672396,-96.5997758548,348.37,549.4651478886
108,111,39.1896460635,-96.59980842190001,348.58,553.5256844629
109,112,39.189629085199996,-96.5998388347,348.7799999999999,556.7594854415
